State Renewable Electricity Profiles 2010,,,,,
Release Date: March 2012,,,,,
Next Release Date: January 2013,,,,,
,,,,,
"Table 5. State Renewable Electric Power Industry Net Generation, by Energy Source, 2006 - 2010",,,,,
(Thousand Megawatthours),,,,,
,,,,,
California,,,,,
,,,,,
Energy Source,2006,2007,2008,2009,2010
,,,,,
Geothermal,"12,821","12,991","12,883","12,853","12,600"
Hydro Conventional,"48,047","27,328","24,128","27,888","33,431"
Solar,495,557,670,647,769
Wind,"4,883","5,585","5,385","5,840","6,079"
Wood/Wood Waste,"3,422","3,407","3,484","3,732","3,551"
MSW Biogenic/Landfill Gas,"1,685","1,657","1,717","1,842","1,812"
Other Biomass,610,648,645,626,639
Total,"71,963","52,173","48,912","53,428","58,881"
 ,,,,,
"Notes: Hydro Conventional does not include pumped storage. Other Biomass includes agricultural byproducts/crops, sludge waste and other biomass solids, liquids and gases. Solar includes solar thermal and photovoltaic. MSW = Municipal Solid Waste. MSW Biogenic includes paper and paper board, wood, food, leather, textiles and yard trimmings. Totals may not equal sum of components due to independent rounding.",,,,,
"Sources: U.S. Energy Information Administration, Form EIA-923, ""Power Plant Operations Report,"" and predecessor forms.",,,,,
