State Renewable Electricity Profiles 2010,,,,,
Release Date: March 2012,,,,,
Next Release Date: January 2013,,,,,
,,,,,
"Table 5. State Renewable Electric Power Industry Net Generation, by Energy Source, 2006 - 2010",,,,,
(Thousand Megawatthours),,,,,
,,,,,
Louisiana,,,,,
,,,,,
Energy Source,2006,2007,2008,2009,2010
,,,,,
Geothermal,-,-,-,-,-
Hydro Conventional,713,827,"1,064","1,236","1,109"
Solar,-,-,-,-,-
Wind,-,-,-,-,-
Wood/Wood Waste,"2,881","2,898","2,639","2,297","2,393"
MSW Biogenic/Landfill Gas,-,-,-,-,-
Other Biomass,81,82,71,67,74
Total,"3,676","3,807","3,774","3,600","3,577"
 ,,,,,
- = No data reported.,,,,,
"Notes: Hydro Conventional does not include pumped storage. Other Biomass includes agricultural byproducts/crops, sludge waste and other biomass solids, liquids and gases. Solar includes solar thermal and photovoltaic. MSW = Municipal Solid Waste. MSW Biogenic includes paper and paper board, wood, food, leather, textiles and yard trimmings. Totals may not equal sum of components due to independent rounding.",,,,,
"Sources: U.S. Energy Information Administration, Form EIA-923, ""Power Plant Operations Report,"" and predecessor forms.",,,,,
