State Renewable Electricity Profiles 2010,,,,,
Release Date: March 2012,,,,,
Next Release Date: January 2013,,,,,
,,,,,
"Table 5. State Renewable Electric Power Industry Net Generation, by Energy Source, 2006 - 2010",,,,,
(Thousand Megawatthours),,,,,
,,,,,
Maine,,,,,
,,,,,
Energy Source,2006,2007,2008,2009,2010
,,,,,
Geothermal,-,-,-,-,-
Hydro Conventional,"4,278","3,738","4,457","4,212","3,810"
Solar,-,-,-,-,-
Wind,-,99,132,299,499
Wood/Wood Waste,"3,685","3,848","3,669","3,367","3,390"
MSW Biogenic/Landfill Gas,235,208,206,232,237
Other Biomass,48,52,52,41,27
Total,"8,246","7,945","8,515","8,150","7,963"
 ,,,,,
- = No data reported.,,,,,
"Notes: Hydro Conventional does not include pumped storage. Other Biomass includes agricultural byproducts/crops, sludge waste and other biomass solids, liquids and gases. Solar includes solar thermal and photovoltaic. MSW = Municipal Solid Waste. MSW Biogenic includes paper and paper board, wood, food, leather, textiles and yard trimmings. Totals may not equal sum of components due to independent rounding.",,,,,
"Sources: U.S. Energy Information Administration, Form EIA-923, ""Power Plant Operations Report,"" and predecessor forms.",,,,,
