State Renewable Electricity Profiles 2010,,,,,
Release Date: March 2012,,,,,
Next Release Date: January 2013,,,,,
,,,,,
"Table 5. State Renewable Electric Power Industry Net Generation, by Energy Source, 2006 - 2010",,,,,
(Thousand Megawatthours),,,,,
,,,,,
New Hampshire,,,,,
,,,,,
Energy Source,2006,2007,2008,2009,2010
,,,,,
Geothermal,-,-,-,-,-
Hydro Conventional,"1,529","1,265","1,633","1,680","1,478"
Solar,-,-,-,-,-
Wind,-,-,10,62,76
Wood/Wood Waste,590,970,"1,010",984,"1,030"
MSW Biogenic/Landfill Gas,156,153,155,151,127
Other Biomass,-,-,-,-,s
Total,"2,275","2,389","2,808","2,878","2,710"
 ,,,,,
"s = Value is less than 0.5 of the table metric, but value is included in any associated total.",,,,,
- = No data reported.,,,,,
"Notes: Hydro Conventional does not include pumped storage. Other Biomass includes agricultural byproducts/crops, sludge waste and other biomass solids, liquids and gases. Solar includes solar thermal and photovoltaic. MSW = Municipal Solid Waste. MSW Biogenic includes paper and paper board, wood, food, leather, textiles and yard trimmings. Totals may not equal sum of components due to independent rounding.",,,,,
"Sources: U.S. Energy Information Administration, Form EIA-923, ""Power Plant Operations Report,"" and predecessor forms.",,,,,
