State Renewable Electricity Profiles 2010,,,,,
Release Date: March 2012,,,,,
Next Release Date: January 2013,,,,,
,,,,,
"Table 5. State Renewable Electric Power Industry Net Generation, by Energy Source, 2006 - 2010",,,,,
(Thousand Megawatthours),,,,,
,,,,,
Pennsylvania,,,,,
,,,,,
Energy Source,2006,2007,2008,2009,2010
,,,,,
Geothermal,-,-,-,-,-
Hydro Conventional,"2,844","2,236","2,549","2,683","2,332"
Solar,-,-,s,4,8
Wind,361,470,729,"1,075","1,854"
Wood/Wood Waste,683,620,658,694,675
MSW Biogenic/Landfill Gas,"1,411","1,441","1,414","1,577","1,706"
Other Biomass,18,16,2,3,3
Total,"5,317","4,782","5,353","6,035","6,577"
 ,,,,,
"s = Value is less than 0.5 of the table metric, but value is included in any associated total.",,,,,
- = No data reported.,,,,,
"Notes: Hydro Conventional does not include pumped storage. Other Biomass includes agricultural byproducts/crops, sludge waste and other biomass solids, liquids and gases. Solar includes solar thermal and photovoltaic. MSW = Municipal Solid Waste. MSW Biogenic includes paper and paper board, wood, food, leather, textiles and yard trimmings. Totals may not equal sum of components due to independent rounding.",,,,,
"Sources: U.S. Energy Information Administration, Form EIA-923, ""Power Plant Operations Report,"" and predecessor forms.",,,,,
