State Renewable Electricity Profiles 2010,,,,,
Release Date: March 2012,,,,,
Next Release Date: January 2013,,,,,
,,,,,
"Table 5. State Renewable Electric Power Industry Net Generation, by Energy Source, 2006 - 2010",,,,,
(Thousand Megawatthours),,,,,
,,,,,
West Virginia,,,,,
,,,,,
Energy Source,2006,2007,2008,2009,2010
,,,,,
Geothermal,-,-,-,-,-
Hydro Conventional,"1,572","1,254","1,248","1,646","1,367"
Solar,-,-,-,-,-
Wind,174,168,392,742,939
Wood/Wood Waste,-,-,s,-1,-
MSW Biogenic/Landfill Gas,-,-,-,-,-
Other Biomass,s,-,-,s,-
Total,"1,746","1,422","1,640","2,388","2,307"
 ,,,,,
"s = Value is less than 0.5 of the table metric, but value is included in any associated total.",,,,,
- = No data reported.,,,,,
"Notes: Hydro Conventional does not include pumped storage. Other Biomass includes agricultural byproducts/crops, sludge waste and other biomass solids, liquids and gases. Solar includes solar thermal and photovoltaic. MSW = Municipal Solid Waste. MSW Biogenic includes paper and paper board, wood, food, leather, textiles and yard trimmings. Totals may not equal sum of components due to independent rounding.",,,,,
"Sources: U.S. Energy Information Administration, Form EIA-923, ""Power Plant Operations Report,"" and predecessor forms.",,,,,
