State Renewable Electricity Profiles 2010,,,,,
Release Date: March 2012,,,,,
Next Release Date: January 2013,,,,,
,,,,,
"Table 5. State Renewable Electric Power Industry Net Generation, by Energy Source, 2006 - 2010",,,,,
(Thousand Megawatthours),,,,,
,,,,,
Wisconsin,,,,,
,,,,,
Energy Source,2006,2007,2008,2009,2010
,,,,,
Geothermal,-,-,-,-,-
Hydro Conventional,"1,679","1,516","1,616","1,394","2,112"
Solar,-,-,-,-,-
Wind,101,109,487,"1,052","1,088"
Wood/Wood Waste,774,785,775,769,878
MSW Biogenic/Landfill Gas,375,414,474,489,470
Other Biomass,16,21,18,30,38
Total,"2,944","2,846","3,370","3,734","4,586"
 ,,,,,
- = No data reported.,,,,,
"Notes: Hydro Conventional does not include pumped storage. Other Biomass includes agricultural byproducts/crops, sludge waste and other biomass solids, liquids and gases. Solar includes solar thermal and photovoltaic. MSW = Municipal Solid Waste. MSW Biogenic includes paper and paper board, wood, food, leather, textiles and yard trimmings. Totals may not equal sum of components due to independent rounding.",,,,,
"Sources: U.S. Energy Information Administration, Form EIA-923, ""Power Plant Operations Report,"" and predecessor forms.",,,,,
